Ticker,Beta (1y),Correlation (1y),Avg Leverage (Uptrend >50),Avg Leverage (Downtrend <50),Avg Leverage (General)
AAPL,1.1919,0.7650,0.7553,2.2804,0.5707
ABBV,0.4016,0.2893,-2.5727,3.0733,-0.5340
ABNB,1.3037,0.6373,4.9206,1.4720,-9.2481
ABT,0.2119,0.1932,0.6585,0.8119,1.5401
ACN,0.7439,0.5604,3.8464,1.2781,1.0915
ADBE,0.9504,0.5637,2.9879,2.1241,2.4358
ADI,1.6686,0.8128,-2.7162,0.0030,-0.9822
ADP,0.5764,0.6191,1.1542,1.6612,1.7867
ADSK,0.9902,0.7081,5.3602,1.3889,3.4918
AEM,0.2896,0.1710,6.0160,0.0268,7.6564
AEP,0.0067,0.0071,-0.0857,1.0352,-0.3049
AFL,0.5215,0.4649,0.9497,1.2745,1.6979
AJG,0.3612,0.3257,1.5402,0.7310,2.7657
ALL,0.5181,0.3970,2.0184,1.8352,3.9948
AMAT,1.7062,0.7325,-0.5509,-0.2814,7.6922
AMD,1.9403,0.7430,3.9835,1.6022,1.1204
AMGN,0.4633,0.3501,3.3771,0.4218,2.8978
AMT,-0.0244,-0.0185,-0.9488,1.1784,0.1975
AMX,0.3770,0.3068,2.4363,2.7327,-1.1008
AMZN,1.3384,0.7926,2.8912,0.0192,1.6646
ANET,1.7126,0.6405,-1.0977,0.6483,4.2530
AON,0.3740,0.3455,0.6385,2.2054,1.3291
APD,0.6875,0.5100,1.9760,1.9813,1.0950
APH,1.3480,0.7460,0.0916,0.9362,1.9485
APO,1.7271,0.7869,4.0554,2.5652,-0.5297
APP,2.2947,0.4987,-0.7866,3.4619,-3.2290
ARM,2.3720,0.7152,-1.6804,0.2360,5.1220
ASML,1.4730,0.6468,3.9413,0.3277,4.7845
AVGO,1.9584,0.6539,-10.1025,-0.3242,0.0954
AXP,1.3366,0.8256,2.6648,1.0006,1.4873
AZN,0.3597,0.3086,1.4861,1.6172,2.0456
BA,1.1669,0.6036,-0.5666,2.9278,1.2594
BABA,0.7277,0.3168,-2.2255,1.9577,-1.6762
BAC,0.9529,0.6810,-0.2482,0.0090,-0.0913
BAM,1.2085,0.7288,3.6442,2.3793,-1.5729
BBVA,0.6815,0.4307,-3.2448,2.1068,-1.1666
BCS,1.1511,0.6570,6.4685,2.5192,2.7865
BDX,0.4614,0.3321,2.5871,0.3132,1.5695
BHP,0.8088,0.5541,3.7878,1.1268,2.3184
BK,0.8700,0.7350,0.7656,1.1040,0.3942
BMY,0.2710,0.1751,3.5580,0.5437,5.1800
BN,1.4385,0.8454,1.9357,2.0993,1.4996
BNS,0.4093,0.4833,-0.4820,2.0184,0.8874
BP,0.6495,0.4477,3.9897,1.2961,0.3403
BRK-B,0.5620,0.5801,0.4814,0.8102,1.1420
BSX,0.7110,0.6354,0.8334,0.5646,1.6354
BTI,0.0745,0.0705,-1.9444,1.1761,1.7963
BUD,0.2605,0.2436,0.6237,1.1236,0.9180
BX,1.5267,0.7995,9.7300,2.0829,2.7828
C,1.2491,0.7409,0.8422,0.6700,-0.5880
CARR,1.0808,0.6847,1.4889,1.9968,0.0389
CAT,1.1285,0.7475,2.4879,1.9550,2.3619
CB,0.3188,0.3139,5.5928,1.6905,4.1295
CDNS,1.4331,0.6943,4.6541,0.2383,3.4069
CEG,1.6565,0.4910,-0.4533,1.0927,-1.3552
CHTR,0.8145,0.4122,-0.1869,2.5253,0.3793
CI,0.0895,0.0646,-0.9291,0.4927,2.4923
CL,0.0603,0.0592,0.7013,-1.3458,2.0593
CM,0.5149,0.5407,1.6052,2.4326,3.9719
CMCSA,0.6589,0.4786,0.2995,0.1162,-0.0402
CME,-0.0468,-0.0522,0.8530,0.7918,1.7785
CMG,0.8488,0.5211,-3.4718,0.2420,0.4409
CNI,0.6370,0.5712,-1.2032,0.9182,0.5972
CNQ,0.8236,0.5342,4.7121,2.8128,3.0677
COF,1.4590,0.7382,2.5726,0.7815,-0.3556
COIN,2.3068,0.5395,-9.3025,0.9235,2.7814
COP,0.8723,0.5267,3.4538,2.4660,3.0703
COR,0.0226,0.0224,0.0749,0.9042,0.9395
COST,0.5922,0.5458,-0.4005,1.6047,0.3270
CP,0.7287,0.5939,-1.5142,1.2122,1.0909
CPNG,0.8934,0.5029,-1.6054,1.3803,-0.8482
CRH,1.2323,0.7691,2.8727,2.1154,1.2138
CRM,1.0783,0.6738,4.5108,-0.1317,1.9546
CRWD,1.5089,0.6037,6.8842,1.3193,5.5010
CSCO,0.8726,0.7629,0.9904,1.1037,0.2014
CSX,0.7423,0.5841,-6.9090,1.2349,-2.4301
CTAS,0.6742,0.5478,1.1470,0.9418,2.2318
CTVA,0.6775,0.5361,1.3451,1.2546,0.7575
CVNA,2.1266,0.6045,-4.6894,2.7939,-4.4017
CVS,0.3670,0.1977,-3.3850,-0.7983,0.8295
CVX,0.6745,0.5383,2.6238,1.9764,2.3265
DASH,1.2134,0.6370,0.8999,1.2716,-2.8993
DB,1.0508,0.5675,1.2498,2.2165,0.3680
DDOG,1.2757,0.6071,2.3745,0.9230,4.9310
DE,0.7718,0.5496,0.4879,1.3807,-0.9502
DELL,1.8439,0.7064,1.5936,0.7117,-1.5797
DEO,0.4001,0.3149,0.7912,1.2615,2.3284
DHR,0.8785,0.5910,4.5106,-0.2290,1.0640
DIS,0.9761,0.6533,2.6505,1.4050,1.6355
DLR,0.7698,0.5501,2.6421,1.6768,0.2243
DUK,-0.0129,-0.0145,1.0279,0.8937,1.7657
ECL,0.5789,0.5631,-0.2506,1.6829,1.1576
ELV,0.1563,0.0926,-14.0873,-1.9124,-4.8438
EMR,1.2659,0.8044,1.5140,0.1266,2.6579
ENB,0.2523,0.2872,3.1880,2.0697,5.9297
EOG,0.7322,0.5044,0.9973,1.9460,1.0168
EPD,0.4721,0.4844,0.6714,1.4369,-0.7677
EQNR,0.5111,0.3196,1.7216,1.7719,1.4708
ET,0.8662,0.6267,3.0409,0.7129,-0.1787
ETN,1.4350,0.7685,3.6377,0.3918,2.8918
FAST,0.6876,0.5449,3.0749,0.9773,1.5197
FCX,1.5084,0.6842,1.0622,0.2883,2.3258
FDX,0.9596,0.5700,2.1271,2.1782,1.7626
FI,0.6894,0.3914,-0.0096,0.9231,1.0850
FLUT,1.0754,0.5973,6.5049,0.9390,-0.6814
FTNT,1.0332,0.4870,0.8052,0.7490,-0.6158
GD,0.5448,0.4940,3.0909,0.6928,2.9879
GE,1.1304,0.6757,1.5346,1.9259,1.9794
GEV,1.6895,0.6241,-0.9706,-0.0738,2.6603
GILD,0.3463,0.2643,2.6645,2.8679,3.6934
GLNCY,1.0445,0.5562,0.7595,1.6008,-1.5471
GOOG,1.0185,0.6561,1.9486,0.3380,0.6804
GOOGL,1.0172,0.6496,1.7411,0.3807,0.5106
GS,1.3352,0.7945,1.0832,1.7225,0.3615
GSK,0.2215,0.1654,2.5310,2.3498,2.2570
HCA,0.3014,0.2198,-6.3127,2.1326,0.5114
HD,0.6447,0.5821,1.9828,1.7242,1.2306
HDB,0.3657,0.3316,-3.6632,0.3154,-1.2916
HLT,0.9412,0.7590,2.7147,2.3865,2.7423
HON,0.7685,0.6356,-0.3880,2.0624,2.5046
HOOD,2.6071,0.6979,-6.0443,1.3980,-0.8364
HSBC,0.7528,0.6085,2.2339,1.8806,1.5880
HWM,1.2589,0.6644,3.5254,1.4287,-0.7039
IBM,0.6886,0.4982,-0.2748,2.6245,0.2888
IBN,0.3702,0.3664,-3.2144,1.0951,-0.4441
ICE,0.4461,0.4953,0.9342,0.7027,1.7774
INFY,0.7443,0.5970,0.0247,-0.3084,0.7505
ING,0.7164,0.5316,-1.0916,2.2645,-0.8792
INTC,1.7706,0.5585,-2.1873,1.9440,3.9931
INTU,0.9724,0.6115,4.4463,0.2893,3.3824
ISRG,1.2080,0.7173,-0.3366,0.7341,0.9078
ITUB,0.4908,0.3470,0.9939,2.0640,-3.0561
ITW,0.7593,0.7076,1.2659,1.5140,1.9026
JCI,1.1955,0.7855,3.5732,1.2372,1.3864
JNJ,0.0200,0.0206,1.9303,0.2792,1.2809
JPM,0.9674,0.6996,1.3750,0.4637,1.4557
KKR,1.8151,0.8075,4.0467,1.0805,2.0329
KLAC,1.7713,0.7472,-3.6716,-0.0441,1.0788
KMI,0.6494,0.5007,0.3227,1.2021,-0.0920
KO,0.0731,0.0863,-1.7493,0.9469,0.5910
LIN,0.6272,0.6886,1.5016,0.9127,1.6514
LLY,0.7379,0.3886,2.1486,3.0506,3.8834
LMT,0.1703,0.1271,-6.9944,0.5229,0.3404
LOW,0.6478,0.5495,2.3138,1.6780,1.6631
LRCX,1.8846,0.7505,-3.0075,0.2527,1.0854
LYG,0.7840,0.5027,1.9701,1.3155,2.7532
MA,0.7765,0.6996,4.4669,1.0033,3.1791
MAR,1.0488,0.7491,2.2570,2.1830,3.5799
MCD,0.2385,0.2480,2.2937,0.7340,2.3055
MDLZ,0.0945,0.0911,-0.1644,-0.1802,0.4186
MDT,0.4252,0.4090,-0.1564,0.1751,-0.5311
MET,1.0870,0.7506,1.0435,2.1250,2.6536
META,1.3633,0.7726,0.7967,1.1965,-0.1637
MFC,1.0486,0.7727,1.4705,2.0572,1.1239
MFG,1.0632,0.5745,2.7301,2.2904,-0.5269
MHVIY,1.2670,0.4783,10.8308,5.1244,8.8670
MMC,0.3718,0.4177,0.1776,0.5573,1.3865
MMM,1.0447,0.5844,-0.8060,1.2670,1.1178
MNST,0.3227,0.2609,-0.3081,0.2652,0.8608
MO,-0.0160,-0.0162,-0.3559,0.0283,-0.7331
MPC,0.9430,0.5297,2.8645,1.8389,0.9532
MPLX,0.5540,0.5401,-0.2070,0.7958,-0.2028
MRK,0.3307,0.2399,-1.4613,0.5190,1.2433
MRVL,2.4363,0.6940,-14.7909,0.1266,-6.0908
MS,1.3255,0.7851,0.7887,0.9060,0.5957
MSFT,0.9364,0.7557,-0.1342,0.5601,1.1256
MSTR,2.2967,0.4887,7.7712,4.7065,0.2450
MU,2.0996,0.6831,-2.3654,-0.2480,-0.1721
MUFG,1.0377,0.6144,3.2390,2.4164,1.0038
NDAQ,0.8442,0.7211,2.2727,1.1054,2.3630
NEE,0.3133,0.2247,-2.9751,0.7108,-0.2190
NEM,0.5230,0.2812,5.4097,-0.0690,5.4938
NET,1.5722,0.6135,1.5869,0.7579,4.2636
NFLX,0.9237,0.5662,-2.3928,1.2927,-1.0347
NKE,0.9706,0.4946,1.0553,2.4451,1.4609
NOC,0.0735,0.0539,7.7479,2.0951,6.5643
NOW,1.3125,0.6454,5.6434,0.0280,2.9233
NSC,0.8258,0.5779,-5.2925,1.5859,-0.4544
NTDOY,0.6827,0.3943,-3.5882,2.3817,-1.4478
NTES,0.4919,0.2414,0.2642,2.3446,2.4694
NU,1.3097,0.5371,-0.5776,2.0456,1.5906
NVDA,2.0528,0.7364,3.0939,-1.5443,-2.7029
NVO,0.7514,0.3467,3.3037,-0.5730,3.6098
NVS,0.2023,0.2006,1.0993,0.9956,2.3005
NWG,0.9280,0.5616,4.3077,1.6004,5.2679
NXPI,1.7965,0.7568,-2.5831,2.1659,-0.7073
O,0.1721,0.1896,0.8277,1.5430,1.1763
OKE,0.9315,0.5913,2.6215,2.4050,2.6559
ORCL,1.4089,0.6506,-0.0514,2.4692,1.8068
ORLY,0.2367,0.2349,2.5835,3.0446,1.7205
PANW,1.2052,0.6695,5.8730,2.2308,3.8885
PAYX,0.5954,0.5113,-0.1841,1.8422,1.5309
PBR,0.6501,0.4143,4.4685,3.4302,-2.4388
PBR-A,0.6642,0.4372,4.4224,2.4739,-2.8727
PCAR,0.8601,0.5643,7.5618,1.9600,2.8704
PDD,0.6187,0.2152,0.9937,1.0930,1.6160
PEP,0.1791,0.1709,1.8901,1.4666,1.1444
PFE,0.4150,0.3478,-0.0939,0.5122,0.1779
PG,0.1409,0.1468,1.1696,1.4079,5.1459
PGR,0.3945,0.3241,-1.7499,1.3040,0.3809
PLD,0.8731,0.6044,-2.6395,2.7899,0.8937
PLTR,2.0487,0.5692,1.7052,1.4931,1.2634
PM,0.1273,0.0961,-8.3452,0.2423,-3.6428
PNC,0.9537,0.7227,-1.4926,1.5244,1.6047
PROSY,0.5911,0.3582,-2.0685,2.3141,-4.2576
PSX,1.0606,0.5903,2.3247,3.4667,1.0730
PWR,1.2684,0.6359,-0.4731,1.4723,3.1061
PYPL,1.1908,0.6406,2.0065,0.8569,0.8188
QCOM,1.5629,0.7637,0.0136,0.3107,-0.4180
RBLX,1.0569,0.4627,-7.4235,0.6994,-3.7807
RCL,1.5913,0.7200,-0.0798,2.6709,-0.0627
REGN,0.6827,0.3627,2.5806,1.3790,1.1055
RHHBY,0.3195,0.2702,0.5847,3.0601,1.5885
RIO,0.5909,0.4642,1.6307,1.3078,0.8384
RLLCF,0.5217,0.0852,-4.9006,6.5542,-9.2196
RSG,0.3539,0.3869,1.9272,1.7933,-1.5134
RTX,0.5046,0.3857,-0.8997,0.5272,2.8639
RY,0.5661,0.6420,0.0290,1.8570,1.0468
RYCEY,1.0242,0.5250,5.4648,1.9720,2.5711
SAN,0.8225,0.4902,-1.4655,3.2828,-1.1174
SAP,0.8722,0.6335,-0.3682,3.2959,2.0466
SBUX,1.0362,0.5072,1.0543,1.8414,2.0615
SCCO,1.1319,0.5937,0.5917,0.3478,0.7724
SCHW,0.8090,0.6097,0.9286,1.0023,3.0723
SE,1.3054,0.5812,0.6477,3.1695,-1.5611
SHEL,0.5775,0.4985,2.8217,1.5514,1.6385
SHOP,2.0675,0.6915,2.3218,2.2275,2.4189
SHW,0.7352,0.5967,-0.3588,1.6927,1.6785
SLB,1.0953,0.6105,3.9671,1.2766,2.9025
SMFG,1.0713,0.6002,4.3531,1.9087,-0.0731
SNOW,1.4787,0.5339,5.9706,0.5770,5.7388
SNPS,1.4704,0.7172,5.9950,0.7256,4.4766
SNY,0.2914,0.2425,2.5770,1.5141,0.1351
SO,0.0128,0.0139,1.0752,0.8653,1.5731
SONY,0.8359,0.5501,2.7304,2.4093,-1.1196
SPG,0.9238,0.6886,-0.5857,2.6898,0.7665
SPGI,0.7824,0.7259,-1.6297,1.2957,0.8782
SPOT,1.0603,0.4840,-1.5444,-2.4047,1.9056
SRE,0.6412,0.4233,-0.4448,2.3154,0.2474
SYK,0.6993,0.6508,1.8675,1.3660,1.9465
T,0.1049,0.0897,1.5971,1.5988,0.1323
TCEHY,0.4850,0.2648,0.2669,2.0015,-3.7735
TD,0.4242,0.4569,2.0192,1.7972,1.6636
TEAM,1.4881,0.5451,2.0502,1.4790,2.2893
TEL,1.0709,0.7884,3.9997,1.4173,3.1394
TFC,1.1100,0.7246,-5.6623,1.7635,-1.6841
TJX,0.5119,0.5455,1.0702,2.0418,2.0538
TMO,0.7649,0.5365,5.4298,-0.6320,1.6845
TMUS,0.3430,0.2542,3.4427,1.6053,0.4751
TRV,0.5128,0.3936,12.4810,2.1733,6.8786
TSLA,2.3776,0.6571,3.1489,3.0078,0.6819
TSM,1.4816,0.6680,11.4425,0.2729,2.7606
TT,0.9809,0.7145,4.8736,2.5566,3.5166
TTE,0.4897,0.4304,4.4998,1.4699,1.0915
TXN,1.4300,0.7389,-2.8234,0.6879,-0.7799
UBER,1.0969,0.5242,-0.8629,1.2839,1.8638
UBS,0.9785,0.6479,5.8931,1.6751,2.4340
UL,0.1071,0.1146,-0.3908,1.8721,2.6991
UNH,0.1964,0.0905,-1.8631,-4.8561,1.3198
UNP,0.6887,0.5998,-3.9062,1.1847,0.2260
UPS,0.7033,0.4499,1.6874,0.3979,0.3917
USB,1.0392,0.7218,2.5329,1.2496,1.7718
V,0.7494,0.6604,4.9590,1.2338,3.2497
VRTX,0.4616,0.3246,3.4348,1.0643,3.9786
VST,2.0518,0.5720,-4.6893,2.2458,0.7004
VZ,0.1087,0.0962,1.7124,1.2843,1.3361
WDAY,1.0088,0.5700,7.4448,0.6010,4.6334
WELL,0.3264,0.3048,-0.5068,2.2172,1.0218
WFC,1.0488,0.6400,1.7813,0.2195,0.5664
WM,0.3125,0.3182,1.1749,1.4129,1.0374
WMB,0.6834,0.5050,2.6368,1.3926,1.8829
WMT,0.6132,0.5178,-1.2007,0.9637,1.0125
XOM,0.5057,0.4193,1.1017,1.4127,1.3003
ZTS,0.5260,0.4118,3.2639,1.1058,5.7428
