Ticker,Sector to Market,Stock to Sector,Meme Stock
A,4,3,No
AA,2.64,3,No
AAL,2.36,3,No
AAP,2.79,1,Yes
AAPL,4.65,5,N/A
ABBV,3.5,5,N/A
ABNB,3.5,4,N/A
ABT,3.64,5,N/A
ACN,3.29,5,N/A
ADBE,4,5,N/A
ADI,4.65,4,N/A
ADP,3.29,4,N/A
ADSK,4,3,N/A
AEO,2.79,1,No
AEP,2.93,3,No
AFL,3.71,3,N/A
AFRM,3.71,2,No
AI,4,1,Yes
AJG,3.71,3,N/A
ALAB,4.65,2,No
ALB,3.14,2,No
ALK,2.36,3,No
ALL,3.71,3,N/A
AMAT,4.65,4,N/A
AMC,2.86,1,Yes
AMD,4.65,5,N/A
AMGN,3.64,4,N/A
AMP,3.71,3,N/A
AMSC,2.93,1,Yes
AMT,3,3,N/A
AMZN,2.93,5,N/A
ANET,4,4,N/A
ANF,2.79,2,No
AON,3.71,3,N/A
APD,3.14,3,N/A
APH,3,3,N/A
APLD,4,1,Yes
APO,3.71,4,N/A
APP,4,4,N/A
APTV,3.21,2,No
ACHR,2.36,2,Yes
ARES,3.71,3,N/A
ARM,4.65,4,N/A
ARMK,1.57,2,No
ASML,4.65,5,N/A
ASO,2.79,1,No
ASTS,3,2,Yes
AVGO,4.65,5,N/A
AXON,3.79,3,N/A
AXP,3.71,5,N/A
AZN,3.5,5,N/A
AZO,3.21,3,N/A
BA,2.36,5,N/A
BABA,4,5,N/A
BAC,3.57,5,N/A
BB,4,1,Yes
BBAI,4,1,Yes
BBVA,3.5,3,N/A
BBW,2.79,1,No
BBWI,2.79,2,Yes
BBY,2.79,2,Yes
BDX,3.64,3,N/A
BE,2.93,2,Yes
BIDU,4,3,No
BITF,3.07,2,Yes
BJ,2.79,2,No
BK,3.57,3,N/A
BKNG,2.36,5,N/A
BLDR,3.14,2,No
BLK,3.71,5,N/A
BMBL,2.86,1,Yes
BMO,3.57,3,N/A
BMY,3.5,4,N/A
BN,3.71,3,N/A
BN,3.71,3,N/A
BNED,2.79,1,Yes
BNS,3.57,3,N/A
BP,2.93,3,N/A
BRK.B,3.71,5,N/A
BROS,2.93,2,No
BRZE,4,1,No
BSX,3.64,4,N/A
BTI,2.07,4,N/A
BTM,3.07,1,Yes
BUD,2.93,4,N/A
BURL,2.79,3,No
BX,3.71,5,N/A
C,3.57,5,N/A
CAH,3.64,3,No
CAKE,2.93,1,No
CAR,3.21,1,Yes
CARR,3.14,3,N/A
CART,1.57,2,No
CASY,2.79,2,No
CAT,3.14,5,N/A
CAVA,1.57,2,Yes
CB,3.71,4,N/A
CBOE,3.71,3,No
CBRL,1.57,1,No
CCJ,2.93,3,No
CCL,2.36,4,No
CDNS,4,3,N/A
CEG,2.93,3,N/A
CELH,2.93,2,No
CENX,2.86,2,Yes
CGC,2.07,1,No
CHPT,2.93,1,Yes
CHTR,3,3,No
CHWY,2.93,2,Yes
CI,3.64,3,N/A
CIEN,3.79,2,No
CIFR,3.07,2,Yes
CL,2.93,3,N/A
CLMT,2.64,1,No
CLSK,3.07,2,Yes
CLX,2.93,2,No
CM,3.71,3,N/A
CMCSA,3,5,N/A
CME,3.71,3,N/A
CMG,2.93,3,N/A
CNI,2.36,3,N/A
CNM,2.64,3,No
CNQ,2.93,3,N/A
COF,3.71,3,N/A
COIN,3.07,4,N/A
COO,3.64,3,No
COP,2.93,4,N/A
COST,2.79,5,N/A
CP,2.36,3,N/A
CPB,1.57,2,No
CPRT,3.21,3,N/A
CRH,3.14,3,N/A
CRM,3.29,5,N/A
CROX,2.93,2,Yes
CRWD,4,4,N/A
CSCO,3,5,N/A
CSGP,3.29,3,No
CSIQ,2.93,1,Yes
CSX,2.36,4,N/A
CTAS,2.93,3,N/A
CTRA,2.93,1,No
CTSH,3.29,3,No
CVNA,3.21,3,Yes
CVS,3.5,3,N/A
CVX,2.93,5,N/A
CYTK,3.5,2,No
D,2.93,3,No
DAL,2.36,4,No
DASH,1.57,4,N/A
DBX,4,2,No
DD,2.64,2,No
DDOG,4,3,N/A
DE,3.14,5,N/A
DECK,2.93,3,No
DELL,4.65,4,N/A
DEO,2.93,3,N/A
DFS,3.71,3,No
DG,2.79,2,Yes
DHI,3.14,3,No
DHR,3.64,4,N/A
DIS,2.86,5,N/A
DKNG,3.71,3,No
DKS,2.79,2,No
DLB,2.86,2,No
DLR,3,3,N/A
DLTR,2.79,2,Yes
DNUT,2.93,1,Yes
DOCS,3.64,2,Yes
DOCU,4,2,No
DOW,3.14,3,No
DPZ,1.57,2,No
DUK,2.93,3,N/A
DUOL,4,2,No
EA,2.86,2,Yes
EBAY,4,3,No
ECL,3.14,3,N/A
EL,2.93,3,No
ELF,2.79,2,No
ELV,3.64,3,N/A
EMR,4,3,N/A
ENB,2.93,3,N/A
ENPH,2.93,2,Yes
ENS,2.93,1,No
EOG,2.93,3,N/A
EOSE,2.93,1,Yes
EPD,2.93,3,N/A
EQIX,4.65,3,N/A
EQNR,2.93,3,N/A
ERIC,4,3,No
ESTC,4,2,Yes
ET,2.93,3,N/A
ETN,2.93,4,N/A
ETSY,4,2,No
EVGO,2.93,1,Yes
EXC,2.93,3,No
EXPE,2.36,4,No
F,3.21,3,No
FANG,2.93,3,No
FAST,2.93,3,No
FCEL,2.93,1,Yes
FCX,2.64,4,N/A
FDX,2.36,4,N/A
FERG,3.14,3,No
FI,3.71,4,N/A
FICO,4.65,3,No
FIS,3.71,3,No
FITB,3.57,3,No
FIVE,2.79,1,Yes
FIZZ,2.93,1,No
FL,2.79,1,No
FLNC,3.71,1,No
FOX,2.86,3,Yes
FRPT,2.93,1,No
FSLR,2.93,3,No
FTNT,4,4,N/A
FUBO,2.86,1,Yes
FUN,2.86,1,No
FVRR,4,1,No
GAP,2.79,2,No
GCT,3.29,1,Yes
GD,3.79,4,N/A
GDDY,4,3,No
GE,3.14,5,N/A
GEHC,3.64,3,No
GES,2.79,1,No
GEV,2.93,3,N/A
GEVO,2.93,1,Yes
GFS,4.65,3,No
GH,3.5,2,Yes
GILD,3.5,4,N/A
GIS,1.57,3,No
GL,3.64,2,Yes
GLW,3.14,3,No
GM,3.21,3,N/A
GME,2.79,2,Yes
GOOG,4.65,5,N/A
GRAB,2.36,2,No
GRMN,4,3,No
GS,3.71,4,N/A
GSK,3.64,3,N/A
GTLB,4,2,No
GWW,2.36,4,N/A
H,3,3,No
HAS,2.93,2,No
HBAN,3.57,3,No
HCA,3.64,3,N/A
HCP,4,2,No
HD,2.79,5,N/A
HDB,3.57,4,N/A
HE,2.93,1,Yes
HELE,2.93,1,Yes
HIMS,3.5,2,No
HIVE,3.07,2,Yes
HLT,3,4,N/A
HOG,3.21,1,No
HON,3.14,4,N/A
HOOD,3.71,3,No
HPE,4.65,3,No
HPQ,4.65,3,No
HRB,3.29,2,No
HSBC,3.57,4,N/A
HSY,2.93,3,No
HTZ,3.21,1,Yes
HUBS,4,3,No
HUM,3.64,3,No
HUT,3.07,2,Yes
HWM,3.14,3,No
IBKR,3.71,3,N/A
IBM,3.29,4,N/A
IBN,3.57,4,N/A
ICE,3.71,3,N/A
IDCC,4,1,No
IDEXY,2.79,4,N/A
IDXX,3.5,2,No
INFY,3.29,3,N/A
INTC,4.65,4,N/A
INTU,3.29,4,N/A
IONQ,4.65,2,Yes
IOT,4,3,No
IP,3.14,3,No
IRDM,3,1,Yes
IREN,2.93,1,Yes
ISRG,3.64,5,N/A
IT,3.29,3,No
ITW,3.14,3,N/A
IVZ,3.71,2,No
JACK,1.57,2,Yes
JBHT,2.36,3,No
JBL,3.14,2,No
JBLU,2.36,1,No
JCI,2.93,3,N/A
JD,2.93,3,N/A
JNJ,2.93,5,N/A
JPM,3.57,5,N/A
JWN,2.79,1,No
K,1.57,3,No
KALU,2.86,2,No
KDP,2.93,3,No
KHC,2.93,3,No
KKR,3.71,4,N/A
KLAC,4.65,3,N/A
KLG,2.93,1,Yes
KMB,2.93,3,N/A
KMI,2.93,3,N/A
KMX,3.21,2,No
KO,2.93,5,N/A
KR,2.93,3,No
KSS,2.79,1,No
KTOS,3.79,2,No
LAZR,3.21,1,Yes
LCID,3.21,2,No
LEN,3,3,No
LEVI,2.79,2,No
LI,3.21,3,No
LIF,3.64,1,Yes
LIN,2.93,5,N/A
LLY,3.5,5,N/A
LMND,3.71,1,No
LMT,3.79,5,N/A
LOGI,4.65,2,No
LOVE,2.79,1,No
LOW,2.79,4,N/A
LRCX,4.65,4,N/A
LSCC,4.65,2,No
LULU,2.79,3,Yes
LUMN,4,2,No
LUNR,2.14,2,Yes
LUV,2.36,2,No
LVS,3,4,No
LYFT,2.36,3,No
LYV,2.86,3,No
LZB,2.79,1,No
M,2.79,1,No
MA,3.71,5,N/A
MANH,4,2,No
MAR,3,4,N/A
MARA,3.07,3,Yes
MAT,2.93,2,No
MAXN,2.93,1,Yes
MCD,1.57,5,N/A
MCHP,4.65,3,No
MCK,3.64,3,N/A
MCO,3.71,3,N/A
MDB,4,3,Yes
MDLZ,2.93,3,N/A
MDT,3.64,4,N/A
MELI,4,3,N/A
MET,3.71,3,N/A
META,4.65,5,N/A
MFC,3.71,3,N/A
MFG,3.57,3,N/A
MGM,3,3,No
MKC,1.57,3,No
MMC,3.71,4,N/A
MMM,2.93,3,N/A
MNDY,3.29,2,No
MNST,2.93,3,N/A
MO,2.07,4,N/A
MPC,2.93,3,No
MPWR,4.65,3,No
MRK,3.5,5,N/A
MRNA,3.5,2,No
MRO,2.93,2,No
MRVL,4.65,3,N/A
MS,3.57,5,N/A
MSFT,4.65,5,N/A
MSI,4.65,3,N/A
MSTR,3.07,4,N/A
MTB,3.57,3,No
MTCH,4,2,No
MTD,3.14,3,No
MU,4.65,4,N/A
MUFG,3.71,4,N/A
NCLH,2.36,3,No
NDAQ,3.71,2,No
NEE,2.93,5,N/A
NEM,2.86,4,N/A
NEP,2.93,1,Yes
NET,4,3,No
NEXN,3.29,1,No
NFLX,2.86,5,N/A
NGG,2.93,3,N/A
NIO,3.21,2,No
NKE,2.79,4,N/A
NNE,2.93,1,Yes
NNOX,3.64,1,No
NOC,3.79,4,N/A
NOK,4.65,3,No
NOVA,2.93,1,Yes
NOW,3.29,5,N/A
NRDS,3.71,1,No
NSC,2.36,4,N/A
NTAP,2.86,4,No
NTDOY,2.86,3,N/A
NTES,2.86,3,N/A
NTRS,3.71,3,No
NU,3.29,2,No
NUWE,3.64,1,Yes
NVDA,4.65,5,N/A
NVO,3.5,5,N/A
NVS,3.5,5,N/A
NVTS,4.65,1,No
NXPI,4.65,3,N/A
NYT,2.86,2,No
O,3,4,No
OKE,2.93,3,N/A
OKLO,2.93,2,Yes
OKTA,3.29,2,No
ON,4.65,3,No
ONON,2.93,2,No
ORCL,4.65,5,N/A
ORLY,3.21,3,N/A
OSCR,3.64,1,No
OWL,3.71,3,No
OXY,2.93,3,No
PANW,4,5,N/A
PARA,2.86,2,No
PAYC,4,2,Yes
PAYX,3.29,3,N/A
PBR,2.93,3,N/A
PCAR,3.21,3,N/A
PCG,2.93,3,N/A
PDD,3.29,4,N/A
PEP,2.93,5,N/A
PFE,3.5,4,N/A
PG,2.93,5,N/A
PGR,3.71,4,N/A
PH,3.14,3,N/A
PINS,2.86,3,Yes
PL,4,1,No
PLAB,3.14,1,No
PLAY,2.93,1,No
PLD,3.71,4,N/A
PLNT,2.93,2,No
PLTR,4,5,N/A
PLUG,2.93,1,Yes
PM,2.07,5,N/A
PNC,3.57,3,N/A
POOL,2.93,2,No
PRU,3.71,3,No
PSA,3,4,N/A
PSFE,3.29,1,No
PTON,2.93,1,Yes
PWR,2.93,3,No
PYPL,3.29,3,N/A
QBTS,4.65,2,No
QCOM,3,5,N/A
QRVO,4.65,2,No
QS,2.93,1,Yes
QSI,3.64,1,Yes
RACE,3.21,3,N/A
RBLX,2.86,3,No
RBRK,4,2,No
RCL,2.36,4,N/A
RDDT,2.86,3,No
REGN,3.5,3,N/A
RELX,4,3,N/A
RENT,4,1,Yes
REVG,3.21,1,No
RGTI,4.65,1,Yes
RH,2.79,2,No
RIO,2.93,4,N/A
RIOT,3.07,2,Yes
RIVN,3.21,2,No
RKLB,2.14,3,Yes
RKT,3.71,3,No
RL,2.79,2,No
ROKU,3,2,No
ROP,4,3,N/A
ROST,2.79,3,No
RSG,3.14,3,N/A
RSKD,3.29,1,Yes
RTX,3.79,5,N/A
RXRX,3.5,1,No
RY,3.57,4,N/A
RYAAY,2.36,4,Yes
S,4,2,No
SAN,3.57,3,N/A
SAP,4.65,5,N/A
SBLK,2.36,2,No
SBUX,2.93,4,N/A
SCCO,2.64,4,N/A
SCHL,2.93,1,Yes
SCHW,3.71,4,N/A
SE,4,3,N/A
SEDG,2.93,1,Yes
SERV,3.14,1,Yes
SFTBY,3.71,3,N/A
SHAK,2.93,1,Yes
SHEL,2.93,5,N/A
SHOP,3.29,4,N/A
SHW,3.14,3,N/A
SIRI,2.86,2,Yes
SKX,2.93,2,No
SLB,2.93,3,N/A
SLP,3.64,1,No
SMAR,3.29,2,No
SMCI,4.65,2,Yes
SMR,2.93,2,Yes
SMTC,4.65,1,No
SN,2.93,2,No
SNAP,2.86,3,Yes
SNBR,2.93,1,Yes
SNOW,4,3,N/A
SNPS,4.65,3,N/A
SNY,3.5,4,N/A
SO,2.93,3,N/A
SOFI,3.71,2,No
SONY,2.93,4,N/A
SOUN,4,1,Yes
SPG,3,4,N/A
SPGI,3.71,4,N/A
SPOT,4,3,N/A
SQ,3.29,3,N/A
SRE,2.93,3,N/A
STLA,3.21,3,Yes
STX,4,3,No
STZ,2.93,3,No
SWI,4,1,No
SYK,3.64,4,N/A
SYM,3.14,2,No
SYY,1.57,3,No
T,3,5,N/A
TCEHY,4,5,N/A
TD,3.57,5,N/A
TDG,2.36,4,N/A
TEAM,4,3,N/A
TEM,3.64,2,No
TER,4.65,3,No
TFC,3.57,3,N/A
TGT,2.79,3,N/A
THC,3.64,2,No
TJX,2.79,4,N/A
TLRY,2.07,2,No
TM,3.21,5,N/A
TME,4,2,No
TMO,3.64,5,N/A
TMUS,3,5,N/A
TOELY,2.93,3,N/A
TPL,3,4,No
TRGP,2.93,3,No
TRIP,2.36,1,Yes
TRV,3.71,3,N/A
TSEM,4.65,1,No
TSLA,3.21,5,N/A
TSM,4.65,5,N/A
TSN,1.57,3,No
TT,3.14,3,N/A
TTAN,4,2,No
TTD,4,3,N/A
TTE,2.93,4,N/A
TTWO,4,3,No
TXN,4.65,5,N/A
TXRH,2.93,2,No
U,2.86,2,No
UA,2.93,1,No
UAL,2.36,4,No
UBER,2.36,5,N/A
UHAL,2.36,3,No
UL,2.93,4,N/A
ULTA,2.79,2,No
UNH,3.64,5,N/A
UNP,2.36,5,N/A
UPS,2.36,5,N/A
UPST,4,2,No
URBN,2.79,1,No
URI,3,3,N/A
USB,3.57,3,N/A
USFD,2.93,2,No
UTHR,3.5,2,No
V,3.71,5,N/A
VEEV,3.64,3,No
VERX,3.29,2,No
VFC,2.79,2,No
VFS,3.21,2,Yes
VIK,2.36,3,No
VKTX,3.5,1,Yes
VLVLY,3.21,3,N/A
VMC,2.64,4,No
VRSN,4,3,No
VRT,2.93,3,No
VRTX,3.5,4,N/A
VSCO,2.79,1,No
VST,2.93,3,No
VZ,3,4,N/A
W,2.93,2,No
WAT,3.64,3,No
WBA,3.64,2,No
WBD,2.86,3,No
WDAY,3.29,3,N/A
WDC,4.65,3,No
WDFC,2.93,1,No
WELL,3.64,3,N/A
WEN,2.93,1,Yes
WFC,3.57,5,N/A
WH,3,3,No
WHR,2.93,2,No
WING,1.57,2,No
WIX,4,2,No
WM,2.36,4,N/A
WMB,2.93,3,N/A
WMG,2.86,3,No
WMT,2.79,5,N/A
WOLF,4.65,1,Yes
WOOF,2.93,1,No
WSM,2.79,2,No
WTFC,3.57,2,No
WU,3.71,1,No
WULF,3.07,2,Yes
WYNN,3,2,Yes
XIACF,4.65,4,N/A
XOM,2.93,5,N/A
XPEV,3.21,2,No
XYZ,3.71,3,N/A
YELP,4,1,No
YOU,2.36,2,No
YUM,1.57,3,No
Z,3,3,No
ZIM,2.36,2,Yes
ZM,4,3,No
ZS,4,3,No
ZTS,3.5,3,N/A