Ticker,Hype,Earnings Date,Earnings Time
BRK.B,0.11,2025-08-04,p
W,0.21,2025-08-04,p
ON,0.24,2025-08-04,p
FRPT,0.4,2025-08-04,p
IDXX,0.25,2025-08-04,p
TSN,0.05,2025-08-04,p
PLTR,0.0,2025-08-04,a
HIMS,0.02,2025-08-04,a
MELI,0.65,2025-08-04,a
AXON,0.48,2025-08-04,a
NVTS,0.15,2025-08-04,a
VRTX,0.24,2025-08-04,a
LSCC,0.52,2025-08-04,a
PFE,0.09,2025-08-05,p
CAT,0.23,2025-08-05,p
BP,0.05,2025-08-05,p
LMND,-0.16,2025-08-05,p
DUK,0.16,2025-08-05,p
DD ,0.62,2025-08-05,p
ETN,0.3,2025-08-05,p
MAR,0.08,2025-08-05,p
RXRX,0.06,2025-08-05,p
AMD,0.52,2025-08-05,a
SMCI,0.4,2025-08-05,a
ANET,0.56,2025-08-05,a
ALAB,0.63,2025-08-05,a
SNAP,0.01,2025-08-05,a
UPST,0.03,2025-08-05,a
LCID,-0.01,2025-08-05,a
RIVN,0.03,2025-08-05,a
UBER,0.57,2025-08-06,p
SHOP,0.33,2025-08-06,p
OSCR,-0.06,2025-08-06,p
NVO,0.17,2025-08-06,p
DIS,0.52,2025-08-06,p
FUN,0.51,2025-08-06,p
MCD,0.14,2025-08-06,p
APP,0.5,2025-08-06,a
IONQ,0.47,2025-08-06,a
DUOL,0.29,2025-08-06,a
SYM,0.13,2025-08-06,a
FTNT,0.09,2025-08-06,a
ELF,0.38,2025-08-06,a
ET,0.77,2025-08-06,a
DKNG,0.7,2025-08-06,a
BROS,0.67,2025-08-06,a
JACK,0.0,2025-08-06,a
CELH,0.43,2025-08-07,p
QBTS,1.0,2025-08-07,p
LLY,0.54,2025-08-07,p
COP,0.64,2025-08-07,p
HUT,1.0,2025-08-07,p
VST,0.56,2025-08-07,p
SONY,0.49,2025-08-07,p
BN,0.4,2025-08-07,p
TRGP,0.63,2025-08-07,p
TTD,0.38,2025-08-07,a
RKLB,0.39,2025-08-07,a
SOUN,0.25,2025-08-07,a
SMR,0.12,2025-08-07,a
KTOS,0.52,2025-08-07,a
XYZ,0.32,2025-08-07,a
TEAM,0.49,2025-08-07,a
TTWO,0.51,2025-08-07,a
PINS,0.56,2025-08-07,a
FUBO,0.08,2025-08-08,p
TEM,0.25,2025-08-08,p
WULF,0.84,2025-08-08,p
WEN,0.03,2025-08-08,p
CGC,0.0,2025-08-08,p
CLMT,0.36,2025-08-08,p